ABBAYE;abbaye;ABE
PORTIQUE;portique;PORQ
PORTIQUES;portiques;PORQ
POTERNE;poterne;POT
POUECH;pouech;POUECH
POURMENADENN;pourmenadenn;POURMENADENN
POURTOUR;pourtour;POUR
POUSTERLE;pousterle;POUSTERLE
PRE;pré;PRE
PRESQU'ILE;presqu'île;PRQ
PROMENADE;promenade;PROM
PUJO;pujo;PUJO
PUJOL;pujol;PUJOL
PUJOS;pujos;PUJOS
QUAI;quai;QU
QUARTIER;quartier;QUA
QUERREUX;querreux;QUERREUX
RACCOURCI;raccourci;RAC
RAIDILLON;raidillon;RAID
RAISE;raise;RAISE
RAIZE;raize;RAIZE
RAMPE;rampe;RPE
REMPART;rempart;REM
RESIDENCE;résidence;RES
ROC;roc;ROC
ROCADE;rocade;ROC
ROND-POINT;rond-point;RPT
ROQUET;roquet;ROQT
ROTONDE;rotonde;RTD
ROUTE;route;RTE
ROUTES;routes;RTE
RPR;rpr;REM
RU;ru;RU
RUE;rue;R
RUELLE;ruelle;RLE
RUELLES;ruelles;RLE
RUES;rues;R
RUETTE;ruette;RTTE
RUETTES;ruettes;RTTE
SARRAT;sarrat;SARRAT
SENTE;sente;SEN
SENTES;sentes;SEN
SENTIER;sentier;SEN
SENTIERS;sentiers;SEN
SERRE;serre;SERRE
SOUMET;soumet;SOUMET
SQUARE;square;SQ
STADE;stade;STDE
STATION;station;STA
STR;str;SEN
STRAED;straed;STRAED
STRAET;straet;STRAET
STRAETE;straete;STRAETE
STREAD;stread;STREAD
STREAT;streat;STREAT
STRET;stret;STRET
TERRAIN;terrain;TRN
TERRASSE;terrasse;TSSE
TERRASSES;terrasses;TSSE
TERRE-PLEIN;terre-plein;TPL
TERTRE;tertre;TRT
TERTRES;tertres;TRT
TOUR;tour;TOUR
TRAVERSE;traverse;TRA
TUC;tuc;TUC
TUCAOU;tucaou;TUCAOU
TUCAU;tucau;TUCAU
TUCAUT;tucaut;TUCAUT
TUCO;tuco;TUCO
TUQUE;tuque;TUQUE
VAL;val;VAL
VALLEE;vallée;VAL
VALLON;vallon;VAL
VC;vc;VC
VENELLE;venelle;VEN
VENELLES;venelles;VEN
VIA;via;VIA
VIEILLE ROUTE;vieille route;VTE
VIEUX CHEMIN;vieux chemin;VCHE
VILLA;villa;VLA
VILLAGE;village;VGE
VILLAGES;villages;VGE
VILLAS;villas;VLA
VOIE;voie;VOI
VOIE COMMUNALE;voie communale;VC
VOIES;voies;VOI
ZONE;zone;ZONE
ZONE A URBANISER EN PRIORITE;zone à urbaniser en priorité;ZUP
ZONE ARTISANALE;zone artisanale;ZA
ZONE D ACTIVITE;zone d'activité;ZAI
ZONE D AMENAGEMENT CONCERTE;zone d'aménagement concerté;ZAC
ZONE D AMENAGEMENT DIFFERE;zone d'aménagement différé;ZAD
ZONE INDUSTRIELLE;zone industrielle;ZI
